GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G01001","2010","01001",15380.11,15132,15939,16403.27,16292,16871,16769,17246.46,17150,17559
"G01002","2010","01002",27843.19,24346,32768,28080.16,25558,29284,29049,28628.62,27713,30517
"G01003","2010","01003",8999.81,5307,9989,8491.00,8491,8491,10372,12203.38,10315,13119
"G01005","2010","01005",4225.12,3776,4532,4794.59,4385,5061,5079,5223.02,5174,5277
"G01007","2010","01007",10573.62,9602,10773,12959.59,12025,13167,14649,15350.00,15350,15350
"G01008","2010","01008",1221.33,1054,1257,1246.56,1079,1293,1263,1245.03,1245,1293
"G01009","2010","01009",951.26,727,1131,887.06,616,1094,741,933.30,892,996
"G01010","2010","01010",3003.55,2991,3205,3341.49,3336,3648,3609,3694.00,3645,3694
"G01011","2010","01011",1241.14,1124,1633,1339.82,1198,1740,1370,1212.64,1124,1265
"G01012","2010","01012",574.69,481,632,668.04,543,739,661,621.49,591,644
"G01013","2010","01013",23464.98,22442,24622,22963.30,22320,23708,23188,23620.33,23264,23807
"G01020","2010","01020",30912.99,28331,33324,29478.23,27613,30975,29668,29806.73,29456,30239
"G01022","2010","01022",2285.49,1601,3183,2229.21,1908,2896,2451,2148.94,2073,2313
"G01026","2010","01026",847.60,736,1166,1049.82,928,1302,946,922.43,909,939
"G01027","2010","01027",16862.15,15694,17678,17459.18,16176,18219,17660,17832.99,17758,17833
"G01028","2010","01028",13413.64,12490,15884,14175.29,12966,16051,15720,16430.00,16430,16430
"G01029","2010","01029",478.09,406,603,662.79,592,801,789,826.72,790,827
"G01030","2010","01030",11947.21,11456,12633,11745.12,11273,12301,11669,11445.54,11133,11542
"G01031","2010","01031",1242.84,795,1455,1244.35,996,1316,1308,1196.23,1110,1224
"G01032","2010","01032",431.34,361,618,497.51,409,642,570,564.56,453,592
"G01033","2010","01033",5556.98,5246,6829,6133.50,5795,7231,6227,6111.83,6110,6546
"G01034","2010","01034",1654.21,1622,1726,1910.39,1868,1969,2021,1978.97,1929,1979
"G01035","2010","01035",4232.86,3827,6434,4795.58,4347,7027,5250,5324.90,4939,5325
"G01036","2010","01036",4636.32,4431,4948,5068.91,4814,5501,5109,4940.72,4835,5050
"G01037","2010","01037",455.75,347,566,627.60,608,637,838,630.00,630,632
"G01038","2010","01038",2546.00,2542,2546,2559.00,2557,2559,2545,2676.15,2676,2685
"G01039","2010","01039",1340.47,769,1897,1287.25,867,2020,1336,1399.45,1390,1639
